repository	path	class	seeded_ref	seeded_oid	delivery_parent	carrier_commit_oid	root_agents_blob_oid	root_agents_sha256	agents_inventory_sha256	generator_policy_sha256
android_device_oneplus_infiniti	device/oneplus/infiniti	inherited-v5	oneplus/lineage-23.2	ba57c74670f92f0a8870dfe2ab003aecfa2628cd	d396f62bd5ebeb0b08087c54a176c6b08f3bca34	24af77046629db98c5a980d0dac7b7fdf6de3a25	60c4ee4b2e2adec42c851daab761554aa59d8aef	4604f7a4ffdb59c84bba3821dba11c2077f610b6d14fdd492b7a2dbfbf5df2f9	da66f85ebab69d985ec76c928737e82967f157b3cba877aff6d203ed48f68bb9	831fceec497e89cad3d18f57f71d7d9fbc2bf2498062efbc079821f326bd17f0
android_device_oneplus_sm8850-common	device/oneplus/sm8850-common	inherited-v5	oneplus/lineage-23.2	0522cdc6164beb97711abc6f367032b021b5ca07	681c7512a5e53e15935d853e5a3dd6294192ba7e	771c8fa4ea9167827ac6cf7b4339e439d5e859bb	75207999809fbef233994a0c4d1e057f3e33101f	1a07415916b6d4a68837ce92273bd38346e5ad367157af7abe3384c8adea97d2	b05a60535e4f111c9af0dfba381a4819d6b8916d02361b91ea67a413f6bdb2b4	831fceec497e89cad3d18f57f71d7d9fbc2bf2498062efbc079821f326bd17f0
android_hardware_oplus	hardware/oplus	inherited-v5	crdroid/16.0	76d4d0c3c50775edb3cb203874e1aa8270f5e72d	e76be9e8088b78d7ded54b7826dfb68d8d8283db	c7f880d2f3fc7490c9ee8f037c1e9a71f5aaa538	aeda77ef8a19c5bbacf09b620e80b806e365bf7b	2e94a3096f66e93eca7f8cda2416f6b73e47502d2f4553afe5e3680b49ad1392	de14060f698a4cd4a13b073a766bf3eb1bffe8af22f00c5b76df4807783ed731	831fceec497e89cad3d18f57f71d7d9fbc2bf2498062efbc079821f326bd17f0
android_frameworks_base	frameworks/base	inherited-v5	crdroid/16.0	15593548c424fbcc4d44b2d07160dbc530ee428d	12180491f4cc5af35f0a0a347d4d6bc5887ac4e1	80c6c3f7a73546b8944eaf071a59a98e798f288b	4bc03aec540d1455741d9fdbacbef570ceeb6cef	9b91d8e59f0934ee84d75dc2d9ac054201c5a1e964be2c573077aa34dc3f855b	da8619d6c4985aaea82bb17889cf44160e3eb91e1b2c274dd92630ab34b9390d	831fceec497e89cad3d18f57f71d7d9fbc2bf2498062efbc079821f326bd17f0
vendor_oneplus_camera-sm8850-common	vendor/oneplus/camera-sm8850-common	inherited-v5	camera-port/16.0	41fd10618f0437e2e57c985b73e42daf3b2b080d	0403103e8ba7e5c2ea8c0c5119f315e8b0e030fe	faf7d86b07f3c2c52be974cc01772a845725ec05	f4ae54161afe3121d9acaa915c5deb70eb7c6088	95bae55b90426d3f0e958cf807325eaecf9be05aa10f97ed031c9453870c6bc7	186365dc5482bae5458c11d55f7c54f3e38b2d719d69709496616c3dd80a7e8f	831fceec497e89cad3d18f57f71d7d9fbc2bf2498062efbc079821f326bd17f0
proprietary_vendor_oneplus_camera-sm8850-common	proprietary/vendor/oneplus/camera-sm8850-common	inherited-v5	camera-port/16.0	c9b0760407740e8853bbf660bddc3d407efe09d3	0c72ca8daa31d97630437bc1af49a70d2d70010d	93e8a7296be61ca8c85f74f2d17c168003372afe	02fe2cb915b132acb6d29cc30143099b40f98d69	0b4fd0fd90fd4c6098612e66c3d5534aa86878a58e04e01f1610477c9135dae7	003d0e8d179d1c00f3bcfe76fccd91da58167102d99fa1768d9884aca65e19b9	831fceec497e89cad3d18f57f71d7d9fbc2bf2498062efbc079821f326bd17f0
proprietary_vendor_oneplus_infiniti	vendor/oneplus/infiniti	inherited-v5	oneplus/lineage-23.2	e84033e7e0df8f80fe7aeb7c8908474ffdcdef83	aae93ee034538073675f6d96950985b26e7ca549	33f731a44fb6e99c22f871830fc60272bd6c817e	d04a91c8960dbd873c595d1cbf65e6563fdc4cd2	8a09439c990f0383e6a63d0eca883c45c1252740a3abfda8b58a09686e6924b2	763b541521e3b17aaa2141a999c342ff1694c2130c02581debfcae6407436d29	831fceec497e89cad3d18f57f71d7d9fbc2bf2498062efbc079821f326bd17f0
proprietary_vendor_oneplus_sm8850-common	vendor/oneplus/sm8850-common	inherited-v5	oneplus/lineage-23.2	af791f92595703f1c5d6a4236a98a5f1c821229f	7c6481e2cb67854cc286a390f5044551bf75f17d	3cd0b8579be681bdcbc211654c5a98bb162da0c2	4c071350e0a1202424f6bdd9235f559297ad82a8	225f4f24afb61bb9008728e036cd122a6f577ee09f017d4d7b12330ad536f4f7	627418620cec0f3a5ef5de0baf2dfbba1b565b357076e5bdc84fa999248dc617	831fceec497e89cad3d18f57f71d7d9fbc2bf2498062efbc079821f326bd17f0
android_lineage-sdk	lineage-sdk	inherited-v5	crdroid/16.0	640eb2fc28e9aefb653d9fe3780d8acbb9af5bdc	c1179c9afd4a58069693fad1da65e0807fb15a26	e199132c875b8a8bd32ec4f4e2bfee61ecbea4cc	7f7836ab08232f17659fb1b5b854763fac29c9a4	083c9123ba0101157232179ffc6c1583b4782967e515db48f3c4e1541682e05f	cf4c40af65df28bd12c01107c3206dc633bf3da23e9bae8d1878ed9002c97cae	831fceec497e89cad3d18f57f71d7d9fbc2bf2498062efbc079821f326bd17f0
android_packages_apps_LineageParts	packages/apps/LineageParts	inherited-v5	crdroid/16.0	42b6c207deb40ae869d8ce8510405ee0bae87c3f	88bb6f77e5c4b74417fffdacef0d1e3ec17ad1d9	25734a7d15c6e4d220052caf377ffd6fde546c09	13310c2ce86a339bfb5049bef696810eabc0b5ce	1d4bc5a5608697b683308379e59e9c3e133d0cd5ab6aea668aecda651e24f3c6	4b814691eefacfb8ac92b357a4f9f8073a9f651d281c8d360d60102dd7ae00d2	831fceec497e89cad3d18f57f71d7d9fbc2bf2498062efbc079821f326bd17f0
